ev_folio;keyword;obesidad;id_gestud;estAv
272;BBBAAA;0;Mast;1
463;BBBBBB;0;Prim;0
477;BBBABB;0;Sec;0
270;BBBAAA;0;Mast;1
214;BBBBBB;0;Doc;1
428;AAAAAA;0;Doc;1
622;_AABAA;0;Lic;0
923;_AAABB;1;Lic;0
52;_BAAAA;0;Lic;0
618;AAAAAB;1;CarTec;0
786;AAAABA;0;Doc;1
42;AAAABB;0;Mast;1
838;ABBBBB;0;Doc;1
488;AAAABB;1;Bach;0
504;AAABBB;1;Lic;0
888;ABBAAA;0;PDoc;1
760;BBAAAA;0;Lic;0
322;_BBBBB;0;CarTec;0
912;_ABBAA;0;Lic;0
713;BBBBBB;0;Mast;1
949;_BAABB;0;Sec;0
306;BBBBBB;0;Lic;0
474;_AAABB;0;Lic;0
976;_AAAAA;0;CarTec;0
675;BBBBBB;0;Bach;0
535;BBBBBB;0;Prim;0
325;BBBBBB;0;Mast;1
33;AAAAAA;0;Bach;0
833;AAAAAA;1;Mast;1
457;AAAAAA;0;Mast;1
34;_AAAAA;0;CarTec;0
177;_BBBAA;0;Lic;0
38;BAAAAB;0;Lic;0
97;AAAAAA;0;Lic;0
136;_BBBAA;0;Doc;1
722;AABBAA;0;Doc;1
826;BBBBBB;1;Prim;0
492;_AABBB;1;Lic;0
253;_BAAAA;0;Mast;1
320;BBBBBB;0;Sec;0
655;AAAABB;1;Doc;1
471;AAAABB;0;Lic;0
114;AAABBB;0;Doc;1
55;AABBBB;0;Doc;1
870;_BBAAB;0;Mast;1
800;_BABBB;0;Mast;1
245;_BAAAA;0;Lic;0
990;AABAAA;0;CarTec;0
913;_AAABB;0;Lic;0
874;AABBBB;1;Lic;0
557;BAAAAB;0;Doc;1
593;_BBAAB;0;Lic;0
81;_AABBA;0;Mast;1
572;_BAAAA;0;Bach;0
922;BBAAAA;0;Lic;0
823;BBBBBB;0;Bach;0
484;_AAABA;1;Doc;1
788;BABAAA;0;CarTec;0
60;_BBBAA;1;Sec;0
500;AABBAB;1;Lic;0
